iter	RMSE
0	13.31287999
1	13.08503964
2	12.85432806
3	12.62746603
4	12.41022006
5	12.19859922
6	12.00563579
7	11.8466714
8	11.66869662
9	11.50439372
10	11.30511868
11	11.13373611
12	10.95768074
13	10.77549657
14	10.58685051
15	10.43776388
16	10.26265633
17	10.10909257
18	9.954718815
19	9.799514071
20	9.674736455
21	9.506387965
22	9.379276292
23	9.220436194
24	9.085269
25	8.938431138
26	8.806130177
27	8.680038454
28	8.56194356
29	8.438568486
30	8.318566708
31	8.193678598
32	8.095971212
33	7.967176495
34	7.84514413
35	7.727181617
36	7.621359999
37	7.519673282
38	7.390774571
39	7.286615818
40	7.185154747
41	7.079824112
42	6.956903114
43	6.843481746
44	6.746094479
45	6.639074568
46	6.560661907
47	6.451057563
48	6.369778791
49	6.280179606
50	6.197887434
51	6.130318723
52	6.046073671
53	5.973352504
54	5.897863614
55	5.820866485
56	5.729263977
57	5.663037947
58	5.585335274
59	5.507633863
60	5.437388273
61	5.367114455
62	5.303156277
63	5.223836843
64	5.155309178
65	5.095477089
66	5.052177626
67	4.981116105
68	4.918285003
69	4.852507876
70	4.793092773
71	4.721081214
72	4.658176492
73	4.601929859
74	4.544364085
75	4.492169645
76	4.429700747
77	4.365667233
78	4.30954582
79	4.257257114
80	4.199739795
81	4.140701141
82	4.091868622
83	4.043170704
84	3.99373662
85	3.958908558
86	3.898464848
87	3.858052074
88	3.8087333
89	3.756181148
90	3.717292164
91	3.669775177
92	3.644082338
93	3.605752827
94	3.559482118
95	3.510035492
96	3.47322841
97	3.423739574
98	3.388031098
99	3.347800294
100	3.313008437
101	3.283174324
102	3.255331297
103	3.232335761
104	3.207726145
105	3.178944352
106	3.146871987
107	3.109448931
108	3.077057251
109	3.0472667
110	3.018119813
111	2.984228834
112	2.95611936
113	2.924561717
114	2.896854868
115	2.872076974
116	2.847812192
117	2.825571315
118	2.8025649
119	2.782479448
120	2.756264041
121	2.737831325
122	2.713636735
123	2.696154658
124	2.673179121
125	2.648260857
126	2.625628543
127	2.603605453
128	2.577284009
129	2.542930582
130	2.515420198
131	2.497322305
132	2.472749786
133	2.45928086
134	2.441876743
135	2.422247575
136	2.400354749
137	2.386744167
138	2.370720875
139	2.354274613
140	2.335118184
141	2.325752851
142	2.311638426
143	2.29303382
144	2.276252019
145	2.262581547
146	2.251859453
147	2.238783613
148	2.223741152
149	2.204751906
150	2.188617926
151	2.172039968
152	2.151483772
153	2.136513382
154	2.115465288
155	2.101692564
156	2.084314357
157	2.068447222
158	2.053947118
159	2.035211386
160	2.026529908
161	2.011362216
162	1.997662223
163	1.988350975
164	1.974883303
165	1.959045773
166	1.946829375
167	1.932622489
168	1.922940115
169	1.908639202
170	1.900184006
171	1.889957199
172	1.878923926
173	1.86697857
174	1.850909207
175	1.837622091
176	1.829841806
177	1.821532204
178	1.810151927
179	1.79908602
180	1.789689258
181	1.776902762
182	1.770157552
183	1.75781503
184	1.751461644
185	1.736829847
186	1.724584695
187	1.718099122
188	1.704518433
189	1.689446702
190	1.678910472
191	1.671966267
192	1.666614314
193	1.649556559
194	1.63875846
195	1.628931812
196	1.619800164
197	1.607342601
198	1.596803757
199	1.58568746
200	1.575081824
201	1.569523677
202	1.559666463
203	1.545244301
204	1.534368807
205	1.525184065
206	1.516406623
207	1.505910462
208	1.498055482
209	1.485197229
210	1.479043153
211	1.46872733
212	1.462874678
213	1.453692928
214	1.447468036
215	1.438234558
216	1.434225673
217	1.428849141
218	1.420778624
219	1.414742613
220	1.4077978
221	1.402566834
222	1.391848242
223	1.386266396
224	1.376895817
225	1.366532264
226	1.356651411
227	1.35055526
228	1.346482739
229	1.339971934
230	1.332871887
231	1.323583364
232	1.316753944
233	1.309390136
234	1.301919475
235	1.297861827
236	1.29074186
237	1.28543174
238	1.278344617
239	1.274401355
240	1.269914958
241	1.263576641
242	1.2590803
243	1.253251974
244	1.246002475
245	1.240115267
246	1.235311932
247	1.229589614
248	1.221333561
249	1.215524238
250	1.211398744
251	1.206468835
252	1.198358994
253	1.191408116
254	1.18614824
255	1.181244678
256	1.177256051
257	1.174393912
258	1.170710381
259	1.163983083
260	1.159729184
261	1.153315611
262	1.14790171
263	1.142769457
264	1.137976755
265	1.130414538
266	1.127373153
267	1.121096923
268	1.11390451
269	1.10819422
270	1.104600618
271	1.099470388
272	1.095601902
273	1.091034126
274	1.085008193
275	1.079209221
276	1.07347205
277	1.070417297
278	1.065120655
279	1.060633861
280	1.054555674
281	1.049750876
282	1.045865013
283	1.040568583
284	1.037960835
285	1.033279004
286	1.028530137
287	1.022830927
288	1.019082634
289	1.013523906
290	1.009423173
291	1.007144401
292	1.005491404
293	1.002473037
294	1.000171927
295	0.9957826794
296	0.9905666189
297	0.9863429261
298	0.981613407
299	0.977812296
300	0.9763370631
301	0.9746867704
302	0.9700405371
303	0.965443588
304	0.9619952434
305	0.9577212922
306	0.9545847832
307	0.9541139405
308	0.9507265924
309	0.9502182457
310	0.9469898401
311	0.9453098487
312	0.9435336727
313	0.9406258258
314	0.9370257064
315	0.9341500566
316	0.9300267398
317	0.9285202793
318	0.9280711122
319	0.9251891164
320	0.9224916796
321	0.9220348025
322	0.9187427111
323	0.9162304478
324	0.9122067698
325	0.9106086898
326	0.9068079179
327	0.9035565869
328	0.9030892867
329	0.8994261122
330	0.8989835324
331	0.897890734
332	0.8949812384
333	0.892617621
334	0.8904481323
335	0.8899382075
336	0.8879478697
337	0.8866062572
338	0.8861161916
339	0.8851438431
340	0.8836903161
341	0.8822661644
342	0.8794289257
343	0.8763239911
344	0.8735177798
345	0.8711915833
346	0.8707951883
347	0.8671262261
348	0.8659706767
349	0.8620678574
350	0.8616495387
351	0.8612331327
352	0.8608088636
353	0.8589208025
354	0.8585616079
355	0.8567660333
356	0.8563703023
357	0.8539766889
358	0.8527171507
359	0.8523682243
360	0.8518228052
361	0.8514682089
362	0.8488477562
363	0.8476524717
364	0.8473005901
365	0.8443472498
366	0.8437397208
367	0.8433981761
368	0.8429943449
369	0.8401999336
370	0.8398623297
371	0.8381722633
372	0.836509662
373	0.8357827783
374	0.8332950433
375	0.8307417831
376	0.8304179774
377	0.830097583
378	0.8274513975
379	0.8269831396
380	0.8264692395
381	0.8239899645
382	0.8221134893
383	0.8217839477
384	0.8202248058
385	0.8183287787
386	0.8147911607
387	0.8123380761
388	0.8108717919
389	0.8094031543
390	0.807551422
391	0.8072611972
392	0.8039079458
393	0.8024132172
394	0.8002724583
395	0.7980784415
396	0.7961240396
397	0.7951788539
398	0.7929384905
399	0.7918844063
400	0.7902169267
401	0.7882468888
402	0.7868345886
403	0.7845439079
404	0.7823973616
405	0.7813970491
406	0.780085866
407	0.7775520661
408	0.7755425313
409	0.7732800696
410	0.7709752319
411	0.7700933542
412	0.7671586405
413	0.7663833981
414	0.7661196173
415	0.7654925014
416	0.7635166115
417	0.7613718182
418	0.7593287959
419	0.7570842565
420	0.7555601547
421	0.7540389908
422	0.7531716615
423	0.7526087051
424	0.7511306217
425	0.7508863762
426	0.7498767777
427	0.7496274501
428	0.7489536626
429	0.7472700339
430	0.7460214502
431	0.7438360549
432	0.7430456722
433	0.7411614306
434	0.7380416291
435	0.7358858331
436	0.7328674554
437	0.7320867823
438	0.7318499033
439	0.730738783
440	0.7299424134
441	0.7285767785
442	0.7274382507
443	0.726690047
444	0.7248915551
445	0.7231097861
446	0.7210753504
447	0.7190489964
448	0.7171351001
449	0.7164066254
450	0.7143823755
451	0.7136713793
452	0.7130073501
453	0.7124588873
454	0.7107223848
455	0.7100995275
456	0.708418806
457	0.7066407129
458	0.7060958792
459	0.7047769167
460	0.7041834485
461	0.702450578
462	0.701248636
463	0.6992556045
464	0.6980786815
465	0.696467249
466	0.6957119267
467	0.6943569661
468	0.692846624
469	0.6920216316
470	0.6909223156
471	0.6900749791
472	0.6895335096
473	0.6883108276
474	0.6864830282
475	0.6856994911
476	0.6845403156
477	0.6826491402
478	0.6812499642
479	0.6807871148
480	0.6804551703
481	0.6799385811
482	0.6793460677
483	0.6783140933
484	0.6771113782
485	0.676323146
486	0.6756208347
487	0.6741754245
488	0.6730245328
489	0.6718490041
490	0.6712665375
491	0.6694741963
492	0.6681054261
493	0.6670872513
494	0.6666255349
495	0.6663138094
496	0.6652931578
497	0.6645946054
498	0.6639659934
499	0.6634624406
