iter	Passed	Remaining
0	0	338
1	1	312
2	1	302
3	2	291
4	2	282
5	3	276
6	3	270
7	4	267
8	4	264
9	5	262
10	5	261
11	6	261
12	7	262
13	7	261
14	8	260
15	8	259
16	9	257
17	9	257
18	10	257
19	10	255
20	11	254
21	11	253
22	12	252
23	12	250
24	13	251
25	13	251
26	14	250
27	14	249
28	15	248
29	15	248
30	16	247
31	16	246
32	17	245
33	17	244
34	18	244
35	18	243
36	19	242
37	19	241
38	20	241
39	20	240
40	21	239
41	21	238
42	22	238
43	22	237
44	23	236
45	23	236
46	24	235
47	25	235
48	25	235
49	26	234
50	26	234
51	27	234
52	27	233
53	28	233
54	28	233
55	29	232
56	29	231
57	30	231
58	30	230
59	31	229
60	31	228
61	32	228
62	32	227
63	33	226
64	33	226
65	34	225
66	34	224
67	35	223
68	35	223
69	36	222
70	36	221
71	37	221
72	37	220
73	38	220
74	38	219
75	39	219
76	39	218
77	40	217
78	40	217
79	41	216
80	41	216
81	42	215
82	42	215
83	43	214
84	43	214
85	44	213
86	44	212
87	45	212
88	45	212
89	46	211
90	46	210
91	47	210
92	47	209
93	48	209
94	48	208
95	49	208
96	50	207
97	50	207
98	51	207
99	51	206
100	52	206
101	52	205
102	53	205
103	53	204
104	54	203
105	54	203
106	55	202
107	55	202
108	56	202
109	56	201
110	57	201
111	57	200
112	58	200
113	58	199
114	59	198
115	59	198
116	60	197
117	60	197
118	61	196
119	61	196
120	62	195
121	62	195
122	63	194
123	64	194
124	64	193
125	65	193
126	65	192
127	66	192
128	66	191
129	67	191
130	67	190
131	68	189
132	68	189
133	69	188
134	69	188
135	70	187
136	70	187
137	71	186
138	71	185
139	72	185
140	72	184
141	73	184
142	73	183
143	74	183
144	74	182
145	75	182
146	75	181
147	76	180
148	76	180
149	77	179
150	77	179
151	78	178
152	78	178
153	79	177
154	79	177
155	80	176
156	80	176
157	81	175
158	81	175
159	82	174
160	82	173
161	83	173
162	83	172
163	84	172
164	84	171
165	85	171
166	85	170
167	86	170
168	86	169
169	87	169
170	87	168
171	88	168
172	88	167
173	89	167
174	89	167
175	90	166
176	90	165
177	91	165
178	91	164
179	92	164
180	92	163
181	93	163
182	94	162
183	94	162
184	95	161
185	95	161
186	95	160
187	96	160
188	96	159
189	97	159
190	97	158
191	98	158
192	99	157
193	99	157
194	100	156
195	100	156
196	101	155
197	101	154
198	102	154
199	102	153
200	103	153
201	103	153
202	104	152
203	104	151
204	105	151
205	105	150
206	106	150
207	106	149
208	107	149
209	107	148
210	108	148
211	108	147
212	109	147
213	109	146
214	110	146
215	110	145
216	111	145
217	111	144
218	112	144
219	112	143
220	113	143
221	113	142
222	114	142
223	114	141
224	115	141
225	116	140
226	116	140
227	117	139
228	117	139
229	118	138
230	118	137
231	118	137
232	119	136
233	120	136
234	120	135
235	121	135
236	121	134
237	122	134
238	122	133
239	123	133
240	123	132
241	124	132
242	124	131
243	125	131
244	125	130
245	126	130
246	126	129
247	127	129
248	127	128
249	128	128
250	128	127
251	129	127
252	129	126
253	130	126
254	130	125
255	131	125
256	131	124
257	132	124
258	132	123
259	133	123
260	133	122
261	134	122
262	134	121
263	135	121
264	135	120
265	136	120
266	136	119
267	137	119
268	137	118
269	138	117
270	138	117
271	139	116
272	140	116
273	140	115
274	141	115
275	141	114
276	142	114
277	142	113
278	143	113
279	143	112
280	144	112
281	144	111
282	145	111
283	145	110
284	146	110
285	146	109
286	147	109
287	147	108
288	148	108
289	148	107
290	149	107
291	149	106
292	150	106
293	150	105
294	151	105
295	151	104
296	152	104
297	152	103
298	153	103
299	153	102
300	154	101
301	154	101
302	155	100
303	155	100
304	156	99
305	156	99
306	157	98
307	157	98
308	158	97
309	158	97
310	159	96
311	159	96
312	160	95
313	160	95
314	161	94
315	161	94
316	162	93
317	162	93
318	163	92
319	163	92
320	164	91
321	164	91
322	165	90
323	165	90
324	166	89
325	166	89
326	167	88
327	167	88
328	168	87
329	168	87
330	169	86
331	169	86
332	170	85
333	170	84
334	171	84
335	171	83
336	172	83
337	172	82
338	173	82
339	174	81
340	174	81
341	175	80
342	175	80
343	176	79
344	176	79
345	177	78
346	177	78
347	178	77
348	178	77
349	179	76
350	179	76
351	180	75
352	180	75
353	181	74
354	181	74
355	182	73
356	182	73
357	183	72
358	183	72
359	184	71
360	184	71
361	185	70
362	185	70
363	186	69
364	186	69
365	187	68
366	187	68
367	188	67
368	188	67
369	189	66
370	189	66
371	190	65
372	190	64
373	191	64
374	191	63
375	192	63
376	192	62
377	193	62
378	193	61
379	194	61
380	194	60
381	195	60
382	195	59
383	196	59
384	196	58
385	197	58
386	197	57
387	198	57
388	199	56
389	199	56
390	200	55
391	200	55
392	201	54
393	201	54
394	202	53
395	202	53
396	203	52
397	203	52
398	204	51
399	204	51
400	205	50
401	205	50
402	206	49
403	206	49
404	207	48
405	207	48
406	208	47
407	208	47
408	209	46
409	209	46
410	210	45
411	210	45
412	211	44
413	211	43
414	212	43
415	212	42
416	213	42
417	213	41
418	214	41
419	214	40
420	215	40
421	215	39
422	216	39
423	216	38
424	217	38
425	217	37
426	218	37
427	218	36
428	219	36
429	219	35
430	220	35
431	221	34
432	221	34
433	222	33
434	222	33
435	222	32
436	223	32
437	224	31
438	224	31
439	225	30
440	226	30
441	226	29
442	227	29
443	227	28
444	228	28
445	228	27
446	229	27
447	229	26
448	230	26
449	231	25
450	231	25
451	232	24
452	233	24
453	233	23
454	234	23
455	234	22
456	235	22
457	236	21
458	236	21
459	237	20
460	237	20
461	238	19
462	239	19
463	239	18
464	240	18
465	240	17
466	241	17
467	242	16
468	242	16
469	243	15
470	243	15
471	244	14
472	245	13
473	245	13
474	246	12
475	246	12
476	247	11
477	248	11
478	248	10
479	249	10
480	249	9
481	250	9
482	250	8
483	251	8
484	251	7
485	252	7
486	253	6
487	253	6
488	254	5
489	254	5
490	255	4
491	255	4
492	256	3
493	256	3
494	257	2
495	257	2
496	258	1
497	258	1
498	259	0
499	259	0
