Archivo,Gramos_Reales,Iteracion,Grupo_Excluido,Prediccion,Error,Error_Abs
T0G-1.jpg,0.0,1,0.0,18.255625,-18.255625,18.255625
T10G-1.jpg,10.0,1,10.0,25.035059523809526,-15.035059523809526,15.035059523809526
T10G-2.jpg,10.0,2,10.0,22.021607142857142,-12.021607142857142,12.021607142857142
T10G-3.jpg,10.0,3,10.0,23.287559523809527,-13.287559523809527,13.287559523809527
T10G-4.jpg,10.0,4,10.0,27.494196428571428,-17.494196428571428,17.494196428571428
T10G-5.jpg,10.0,5,10.0,18.35940476190476,-8.35940476190476,8.35940476190476
T20G-1.jpg,20.0,1,20.0,9.186815476190475,10.813184523809525,10.813184523809525
T20G-2.jpg,20.0,2,20.0,19.077261904761905,0.9227380952380955,0.9227380952380955
T20G-3.jpg,20.0,3,20.0,42.063898809523806,-22.063898809523806,22.063898809523806
T20G-4.jpg,20.0,4,20.0,8.227291666666666,11.772708333333334,11.772708333333334
T20G-5.jpg,20.0,5,20.0,30.14979166666667,-10.149791666666669,10.149791666666669
T30G-1.jpg,30.0,1,30.0,30.677619047619043,-0.6776190476190429,0.6776190476190429
T30G-2.jpg,30.0,2,30.0,43.55125,-13.551250000000003,13.551250000000003
T30G-3.jpg,30.0,3,30.0,45.00875,-15.00875,15.00875
T30G-4.jpg,30.0,4,30.0,14.144047619047619,15.855952380952381,15.855952380952381
T30G-5.jpg,30.0,5,30.0,45.96410714285714,-15.964107142857138,15.964107142857138
T40G-1.jpg,40.0,1,40.0,37.79330357142857,2.2066964285714334,2.2066964285714334
T40G-2.jpg,40.0,2,40.0,37.9097619047619,2.0902380952380994,2.0902380952380994
T40G-3.jpg,40.0,3,40.0,31.95285714285714,8.047142857142859,8.047142857142859
T40G-4.jpg,40.0,4,40.0,37.16178571428571,2.8382142857142867,2.8382142857142867
T40G-5.jpg,40.0,5,40.0,40.1660119047619,-0.16601190476190197,0.16601190476190197
T50G-1.jpg,50.0,1,50.0,33.68071428571429,16.319285714285712,16.319285714285712
T50G-2.jpg,50.0,2,50.0,27.179583333333333,22.820416666666667,22.820416666666667
T50G-3.jpg,50.0,3,50.0,36.04410714285714,13.955892857142857,13.955892857142857
T50G-4.jpg,50.0,4,50.0,21.975267857142857,28.024732142857143,28.024732142857143
T50G-5.jpg,50.0,5,50.0,31.49916666666667,18.50083333333333,18.50083333333333
