modelo,grupo_excluido,n_test,MAE,RMSE
Ridge,0.0,1,39.02369388176337,39.02369388176337
Ridge,10.0,5,23.09554405415677,24.064231794910306
Ridge,20.0,5,16.79589384496429,21.3419391534161
Ridge,30.0,5,10.575758893604021,11.655595277109244
Ridge,40.0,5,16.65281390340782,18.913926797573417
Ridge,50.0,5,27.720569580961932,28.222803221134214
SVR_RBF,0.0,1,33.496338498766555,33.496338498766555
SVR_RBF,10.0,5,22.5428172723912,22.65128094915159
SVR_RBF,20.0,5,13.160015898391839,13.166589353395576
SVR_RBF,30.0,5,4.0806120491386055,4.541269119107584
SVR_RBF,40.0,5,14.888241085728978,15.09278942838088
SVR_RBF,50.0,5,25.418060205901774,25.46704020573265
RandomForest,0.0,1,39.5623094035594,39.5623094035594
RandomForest,10.0,5,24.19110702260702,24.582413629447604
RandomForest,20.0,5,8.974758833758838,10.929554639340102
RandomForest,30.0,5,7.76592255892256,8.570210686658553
RandomForest,40.0,5,18.731162578162586,19.02489723798534
RandomForest,50.0,5,28.239827524327524,28.428446220714896
GradientBoosting,0.0,1,38.37300240823656,38.37300240823656
GradientBoosting,10.0,5,22.83466351469944,24.91490138305109
GradientBoosting,20.0,5,6.268091351811526,8.95167838467615
GradientBoosting,30.0,5,10.903044136344294,12.096570775413673
GradientBoosting,40.0,5,22.665542369214876,23.261778430615504
GradientBoosting,50.0,5,28.627091193859133,28.810045252947116
CatBoost,0.0,1,34.90590906578206,34.90590906578206
CatBoost,10.0,5,24.264069692349427,24.37060799287771
CatBoost,20.0,5,10.574108732296494,10.982489144702512
CatBoost,30.0,5,3.1801751972955032,3.4839001707868804
CatBoost,40.0,5,15.849171261905246,15.973718330627078
CatBoost,50.0,5,26.475682562405144,26.49719207777373
