imagen,gramos,iteracion,modelo,validacion,grupo_excluido,predicho,error,error_abs
T0G-1.jpg,0.0,1,Ridge,LOWO,0.0,39.02369388176337,-39.02369388176337,39.02369388176337
T10G-1.jpg,10.0,1,Ridge,LOWO,10.0,22.164539414021423,-12.164539414021423,12.164539414021423
T10G-2.jpg,10.0,2,Ridge,LOWO,10.0,34.838828869488665,-24.838828869488665,24.838828869488665
T10G-3.jpg,10.0,3,Ridge,LOWO,10.0,40.845029351487014,-30.845029351487014,30.845029351487014
T10G-4.jpg,10.0,4,Ridge,LOWO,10.0,29.08175536241493,-19.08175536241493,19.08175536241493
T10G-5.jpg,10.0,5,Ridge,LOWO,10.0,38.54756727337182,-28.54756727337182,28.54756727337182
T20G-1.jpg,20.0,1,Ridge,LOWO,20.0,18.58922110325665,1.4107788967433486,1.4107788967433486
T20G-2.jpg,20.0,2,Ridge,LOWO,20.0,6.700648246857227,13.299351753142773,13.299351753142773
T20G-3.jpg,20.0,3,Ridge,LOWO,20.0,46.75112498636729,-26.751124986367287,26.751124986367287
T20G-4.jpg,20.0,4,Ridge,LOWO,20.0,25.783208620454715,-5.783208620454715,5.783208620454715
T20G-5.jpg,20.0,5,Ridge,LOWO,20.0,56.73500496811333,-36.73500496811333,36.73500496811333
T30G-1.jpg,30.0,1,Ridge,LOWO,30.0,16.11799801361878,13.88200198638122,13.88200198638122
T30G-2.jpg,30.0,2,Ridge,LOWO,30.0,12.57064354354932,17.42935645645068,17.42935645645068
T30G-3.jpg,30.0,3,Ridge,LOWO,30.0,41.28310797701336,-11.283107977013358,11.283107977013358
T30G-4.jpg,30.0,4,Ridge,LOWO,30.0,34.006419034936066,-4.006419034936066,4.006419034936066
T30G-5.jpg,30.0,5,Ridge,LOWO,30.0,36.277909013238784,-6.277909013238784,6.277909013238784
T40G-1.jpg,40.0,1,Ridge,LOWO,40.0,25.089837061832025,14.910162938167975,14.910162938167975
T40G-2.jpg,40.0,2,Ridge,LOWO,40.0,31.762999031360817,8.237000968639183,8.237000968639183
T40G-3.jpg,40.0,3,Ridge,LOWO,40.0,15.017118220837705,24.982881779162295,24.982881779162295
T40G-4.jpg,40.0,4,Ridge,LOWO,40.0,33.77269252168625,6.227307478313747,6.227307478313747
T40G-5.jpg,40.0,5,Ridge,LOWO,40.0,11.093283647244085,28.906716352755915,28.906716352755915
T50G-1.jpg,50.0,1,Ridge,LOWO,50.0,24.389928176721167,25.610071823278833,25.610071823278833
T50G-2.jpg,50.0,2,Ridge,LOWO,50.0,16.906645648343314,33.093354351656686,33.093354351656686
T50G-3.jpg,50.0,3,Ridge,LOWO,50.0,31.05663280366123,18.94336719633877,18.94336719633877
T50G-4.jpg,50.0,4,Ridge,LOWO,50.0,16.79105948181715,33.20894051818285,33.20894051818285
T50G-5.jpg,50.0,5,Ridge,LOWO,50.0,22.252885984647452,27.747114015352548,27.747114015352548
T0G-1.jpg,0.0,1,SVR_RBF,LOWO,0.0,33.496338498766555,-33.496338498766555,33.496338498766555
T10G-1.jpg,10.0,1,SVR_RBF,LOWO,10.0,30.71803732747224,-20.71803732747224,20.71803732747224
T10G-2.jpg,10.0,2,SVR_RBF,LOWO,10.0,31.706234725762087,-21.706234725762087,21.706234725762087
T10G-3.jpg,10.0,3,SVR_RBF,LOWO,10.0,30.07796501483702,-20.07796501483702,20.07796501483702
T10G-4.jpg,10.0,4,SVR_RBF,LOWO,10.0,34.31051197993743,-24.31051197993743,24.31051197993743
T10G-5.jpg,10.0,5,SVR_RBF,LOWO,10.0,35.901337313947224,-25.901337313947224,25.901337313947224
T20G-1.jpg,20.0,1,SVR_RBF,LOWO,20.0,33.30432808390871,-13.304328083908707,13.304328083908707
T20G-2.jpg,20.0,2,SVR_RBF,LOWO,20.0,33.681574717826486,-13.681574717826486,13.681574717826486
T20G-3.jpg,20.0,3,SVR_RBF,LOWO,20.0,33.47003400162481,-13.47003400162481,13.47003400162481
T20G-4.jpg,20.0,4,SVR_RBF,LOWO,20.0,32.68053201895165,-12.680532018951652,12.680532018951652
T20G-5.jpg,20.0,5,SVR_RBF,LOWO,20.0,32.66361066964755,-12.663610669647547,12.663610669647547
T30G-1.jpg,30.0,1,SVR_RBF,LOWO,30.0,28.996586489186903,1.0034135108130968,1.0034135108130968
T30G-2.jpg,30.0,2,SVR_RBF,LOWO,30.0,25.407164363061092,4.592835636938908,4.592835636938908
T30G-3.jpg,30.0,3,SVR_RBF,LOWO,30.0,37.148577353406395,-7.148577353406395,7.148577353406395
T30G-4.jpg,30.0,4,SVR_RBF,LOWO,30.0,33.286798709846316,-3.286798709846316,3.286798709846316
T30G-5.jpg,30.0,5,SVR_RBF,LOWO,30.0,34.37143503468831,-4.371435034688311,4.371435034688311
T40G-1.jpg,40.0,1,SVR_RBF,LOWO,40.0,25.791965704027106,14.208034295972894,14.208034295972894
T40G-2.jpg,40.0,2,SVR_RBF,LOWO,40.0,28.04711346104627,11.95288653895373,11.95288653895373
T40G-3.jpg,40.0,3,SVR_RBF,LOWO,40.0,22.442329533684855,17.557670466315145,17.557670466315145
T40G-4.jpg,40.0,4,SVR_RBF,LOWO,40.0,27.285429310043938,12.714570689956062,12.714570689956062
T40G-5.jpg,40.0,5,SVR_RBF,LOWO,40.0,21.99195656255294,18.00804343744706,18.00804343744706
T50G-1.jpg,50.0,1,SVR_RBF,LOWO,50.0,24.945247586222465,25.054752413777535,25.054752413777535
T50G-2.jpg,50.0,2,SVR_RBF,LOWO,50.0,24.605717793925447,25.394282206074553,25.394282206074553
T50G-3.jpg,50.0,3,SVR_RBF,LOWO,50.0,27.299254729274537,22.700745270725463,22.700745270725463
T50G-4.jpg,50.0,4,SVR_RBF,LOWO,50.0,22.777994809481733,27.222005190518267,27.222005190518267
T50G-5.jpg,50.0,5,SVR_RBF,LOWO,50.0,23.281484051586943,26.718515948413057,26.718515948413057
T0G-1.jpg,0.0,1,RandomForest,LOWO,0.0,39.5623094035594,-39.5623094035594,39.5623094035594
T10G-1.jpg,10.0,1,RandomForest,LOWO,10.0,26.343324915824905,-16.343324915824905,16.343324915824905
T10G-2.jpg,10.0,2,RandomForest,LOWO,10.0,32.96924362674362,-22.96924362674362,22.96924362674362
T10G-3.jpg,10.0,3,RandomForest,LOWO,10.0,36.63450456950457,-26.63450456950457,26.63450456950457
T10G-4.jpg,10.0,4,RandomForest,LOWO,10.0,36.01718734968735,-26.017187349687347,26.017187349687347
T10G-5.jpg,10.0,5,RandomForest,LOWO,10.0,38.991274651274644,-28.991274651274644,28.991274651274644
T20G-1.jpg,20.0,1,RandomForest,LOWO,20.0,24.441905964405965,-4.441905964405965,4.441905964405965
T20G-2.jpg,20.0,2,RandomForest,LOWO,20.0,36.9597102897103,-16.9597102897103,16.9597102897103
T20G-3.jpg,20.0,3,RandomForest,LOWO,20.0,36.20967541717542,-16.20967541717542,16.20967541717542
T20G-4.jpg,20.0,4,RandomForest,LOWO,20.0,23.003567821067826,-3.0035678210678256,3.0035678210678256
T20G-5.jpg,20.0,5,RandomForest,LOWO,20.0,24.25893467643468,-4.258934676434681,4.258934676434681
T30G-1.jpg,30.0,1,RandomForest,LOWO,30.0,18.304084896584897,11.695915103415103,11.695915103415103
T30G-2.jpg,30.0,2,RandomForest,LOWO,30.0,18.264702982202977,11.735297017797023,11.735297017797023
T30G-3.jpg,30.0,3,RandomForest,LOWO,30.0,34.63480038480038,-4.6348003848003785,4.6348003848003785
T30G-4.jpg,30.0,4,RandomForest,LOWO,30.0,37.9626924001924,-7.962692400192402,7.962692400192402
T30G-5.jpg,30.0,5,RandomForest,LOWO,30.0,32.80090788840789,-2.8009078884078917,2.8009078884078917
T40G-1.jpg,40.0,1,RandomForest,LOWO,40.0,18.87467291967291,21.12532708032709,21.12532708032709
T40G-2.jpg,40.0,2,RandomForest,LOWO,40.0,24.841689514189504,15.158310485810496,15.158310485810496
T40G-3.jpg,40.0,3,RandomForest,LOWO,40.0,21.09252525252525,18.90747474747475,18.90747474747475
T40G-4.jpg,40.0,4,RandomForest,LOWO,40.0,25.03499999999999,14.96500000000001,14.96500000000001
T40G-5.jpg,40.0,5,RandomForest,LOWO,40.0,16.500299422799415,23.499700577200585,23.499700577200585
T50G-1.jpg,50.0,1,RandomForest,LOWO,50.0,20.981530876530872,29.018469123469128,29.018469123469128
T50G-2.jpg,50.0,2,RandomForest,LOWO,50.0,28.035084452584453,21.964915547415547,21.964915547415547
T50G-3.jpg,50.0,3,RandomForest,LOWO,50.0,21.42452954452955,28.57547045547045,28.57547045547045
T50G-4.jpg,50.0,4,RandomForest,LOWO,50.0,19.310209327709334,30.689790672290666,30.689790672290666
T50G-5.jpg,50.0,5,RandomForest,LOWO,50.0,19.04950817700818,30.95049182299182,30.95049182299182
T0G-1.jpg,0.0,1,GradientBoosting,LOWO,0.0,38.37300240823656,-38.37300240823656,38.37300240823656
T10G-1.jpg,10.0,1,GradientBoosting,LOWO,10.0,14.546211941246682,-4.546211941246682,4.546211941246682
T10G-2.jpg,10.0,2,GradientBoosting,LOWO,10.0,32.18377527465758,-22.183775274657577,22.183775274657577
T10G-3.jpg,10.0,3,GradientBoosting,LOWO,10.0,42.479382280750514,-32.479382280750514,32.479382280750514
T10G-4.jpg,10.0,4,GradientBoosting,LOWO,10.0,33.90807149718447,-23.908071497184473,23.908071497184473
T10G-5.jpg,10.0,5,GradientBoosting,LOWO,10.0,41.055876579657955,-31.055876579657955,31.055876579657955
T20G-1.jpg,20.0,1,GradientBoosting,LOWO,20.0,20.05111448851025,-0.05111448851025102,0.05111448851025102
T20G-2.jpg,20.0,2,GradientBoosting,LOWO,20.0,29.7649046347091,-9.7649046347091,9.7649046347091
T20G-3.jpg,20.0,3,GradientBoosting,LOWO,20.0,37.14445281274334,-17.14445281274334,17.14445281274334
T20G-4.jpg,20.0,4,GradientBoosting,LOWO,20.0,18.75403050232647,1.2459694976735314,1.2459694976735314
T20G-5.jpg,20.0,5,GradientBoosting,LOWO,20.0,16.865984674578595,3.134015325421405,3.134015325421405
T30G-1.jpg,30.0,1,GradientBoosting,LOWO,30.0,16.63221224405427,13.36778775594573,13.36778775594573
T30G-2.jpg,30.0,2,GradientBoosting,LOWO,30.0,17.268838836293778,12.731161163706222,12.731161163706222
T30G-3.jpg,30.0,3,GradientBoosting,LOWO,30.0,38.64271042035933,-8.642710420359329,8.642710420359329
T30G-4.jpg,30.0,4,GradientBoosting,LOWO,30.0,47.65407109549196,-17.654071095491958,17.654071095491958
T30G-5.jpg,30.0,5,GradientBoosting,LOWO,30.0,27.880509753781773,2.119490246218227,2.119490246218227
T40G-1.jpg,40.0,1,GradientBoosting,LOWO,40.0,17.440587235349216,22.559412764650784,22.559412764650784
T40G-2.jpg,40.0,2,GradientBoosting,LOWO,40.0,14.680762924100069,25.31923707589993,25.31923707589993
T40G-3.jpg,40.0,3,GradientBoosting,LOWO,40.0,15.556822173559198,24.443177826440802,24.443177826440802
T40G-4.jpg,40.0,4,GradientBoosting,LOWO,40.0,27.157038245764323,12.842961754235677,12.842961754235677
T40G-5.jpg,40.0,5,GradientBoosting,LOWO,40.0,11.837077575152795,28.162922424847203,28.162922424847203
T50G-1.jpg,50.0,1,GradientBoosting,LOWO,50.0,24.88141579739569,25.11858420260431,25.11858420260431
T50G-2.jpg,50.0,2,GradientBoosting,LOWO,50.0,22.598922740699734,27.401077259300266,27.401077259300266
T50G-3.jpg,50.0,3,GradientBoosting,LOWO,50.0,21.34927404370343,28.65072595629657,28.65072595629657
T50G-4.jpg,50.0,4,GradientBoosting,LOWO,50.0,22.73447204521079,27.26552795478921,27.26552795478921
T50G-5.jpg,50.0,5,GradientBoosting,LOWO,50.0,15.300459403694688,34.69954059630531,34.69954059630531
T0G-1.jpg,0.0,1,CatBoost,LOWO,0.0,34.90590906578206,-34.90590906578206,34.90590906578206
T10G-1.jpg,10.0,1,CatBoost,LOWO,10.0,30.350805892594856,-20.350805892594856,20.350805892594856
T10G-2.jpg,10.0,2,CatBoost,LOWO,10.0,33.271953292766035,-23.271953292766035,23.271953292766035
