columna,tipo,nulos,nulos_pct,unicos
lombrices_agregadas_g,int64,0,0.0,6
replica,int64,0,0.0,5
peso_cama_5cm_g,float64,0,0.0,6
peso_cama_10cm_g,float64,0,0.0,5
peso_lombrices_inyectadas_g,int64,0,0.0,6
humedad_pct,float64,0,0.0,17
temperatura_c,float64,0,0.0,18
uv_intensity,int64,0,0.0,5
conductividad_us_cm,int64,0,0.0,25
ph,float64,0,0.0,16
nitrogeno_mg_kg,int64,0,0.0,25
fosforo_mg_kg,int64,0,0.0,15
potasio_mg_kg,int64,0,0.0,14
acel_x_g,float64,0,0.0,5
acel_y_g,float64,0,0.0,11
acel_z_g,float64,0,0.0,14
lluvia_binario,int64,0,0.0,1
salud,float64,0,0.0,9
humedad_trama_pct,float64,0,0.0,18
temperatura_trama_c,float64,0,0.0,16
conductividad_trama_us_cm,int64,0,0.0,25
ph_trama,float64,0,0.0,16
nitrogeno_trama_mg_kg,int64,0,0.0,25
fosforo_trama_mg_kg,int64,0,0.0,15
potasio_trama_mg_kg,int64,0,0.0,14
ID,int64,0,0.0,26
imagen,object,0,0.0,26
img_pix_count_50,int64,0,0.0,5
img_pix_density_50,float64,0,0.0,5
img_pix_count_80,int64,0,0.0,11
img_pix_density_80,float64,0,0.0,11
img_pix_count_100,int64,0,0.0,22
img_pix_density_100,float64,0,0.0,22
img_pix_count_130,int64,0,0.0,26
img_pix_density_130,float64,0,0.0,26
img_pix_count_150,int64,0,0.0,26
img_pix_density_150,float64,0,0.0,26
img_pix_count_180,int64,0,0.0,26
img_pix_density_180,float64,0,0.0,26
img_pix_count_200,int64,0,0.0,1
img_pix_density_200,float64,0,0.0,1
img_pix_percentile_count_50,int64,0,0.0,26
img_pix_percentile_density_50,float64,0,0.0,26
img_pix_percentile_count_60,int64,0,0.0,26
img_pix_percentile_density_60,float64,0,0.0,26
img_pix_percentile_count_70,int64,0,0.0,26
img_pix_percentile_density_70,float64,0,0.0,26
img_pix_percentile_count_75,int64,0,0.0,26
img_pix_percentile_density_75,float64,0,0.0,26
img_pix_percentile_count_80,int64,0,0.0,26
