variable,shapiro_stat,shapiro_p_value,normal_aprox_p_gt_0_05
lombrices_agregadas_g,0.9192878378174222,0.043268448661490495,False
replica,0.8858954402264221,0.00768634786188885,False
peso_cama_5cm_g,0.8779579366262829,0.005214145017994534,False
peso_cama_10cm_g,0.8395077737275072,0.0008964357037925823,False
peso_lombrices_inyectadas_g,0.9192878378174222,0.043268448661490495,False
humedad_pct,0.7990839426453162,0.0001698896124048806,False
temperatura_c,0.9197115909183423,0.0442683206286295,False
uv_intensity,0.912115969357789,0.029485439414569405,False
conductividad_us_cm,0.9579563097954188,0.3529231320134937,True
ph,0.889404299535718,0.009150536220004802,False
nitrogeno_mg_kg,0.9593549497598899,0.3790001026288831,True
fosforo_mg_kg,0.7261580847275667,1.2350646535011621e-05,False
potasio_mg_kg,0.7233569697405753,1.1257549458794463e-05,False
acel_x_g,0.6391316430402547,8.633088668233253e-07,False
acel_y_g,0.76956617848388,5.581192345840521e-05,False
acel_z_g,0.9366824718104219,0.11189079532625851,True
lluvia_binario,1.0,1.0,True
salud,0.9019744280326271,0.017333987895796543,False
humedad_trama_pct,0.7988681494865594,0.0001684639610723275,False
temperatura_trama_c,0.933944580527687,0.09623876861455301,True
conductividad_trama_us_cm,0.958087879381485,0.3553122633352652,True
ph_trama,0.9024788724609601,0.01779230721715997,False
nitrogeno_trama_mg_kg,0.9594911819689309,0.38162045994300897,True
fosforo_trama_mg_kg,0.7261675074056277,1.2354508220552426e-05,False
potasio_trama_mg_kg,0.7233656742934635,1.1260782629494969e-05,False
ID,0.9583006688508062,0.35920426787721227,True
img_pix_count_50,0.23891336279570907,1.374570345611967e-10,False
img_pix_density_50,0.23891336279570818,1.374570345611942e-10,False
img_pix_count_80,0.5371609507739906,6.01482585681435e-08,False
img_pix_density_80,0.53716095077399,6.014825856814273e-08,False
img_pix_count_100,0.5886069482713352,2.1909135638256257e-07,False
img_pix_density_100,0.5886069482713356,2.1909135638256458e-07,False
img_pix_count_130,0.7898345845546999,0.000118854385257763,False
img_pix_density_130,0.7898345845546999,0.000118854385257763,False
img_pix_count_150,0.8658352256491748,0.0029312928958878863,False
img_pix_density_150,0.865835225649175,0.002931292895887919,False
img_pix_count_180,0.8206134121320473,0.0004031249511099604,False
img_pix_density_180,0.8206134121320471,0.00040312495110995727,False
img_pix_count_200,1.0,1.0,True
img_pix_density_200,1.0,1.0,True
img_pix_percentile_count_50,0.7043565006483968,6.0856868677681995e-06,False
img_pix_percentile_density_50,0.7043565006483965,6.085686867768154e-06,False
img_pix_percentile_count_60,0.7712264741645138,5.9298298747272025e-05,False
img_pix_percentile_density_60,0.7712264741645141,5.9298298747272696e-05,False
img_pix_percentile_count_70,0.7908430270034003,0.00012352724842343825,False
img_pix_percentile_density_70,0.7908430270033997,0.00012352724842343545,False
img_pix_percentile_count_75,0.8510318198649605,0.0014896868717227615,False
img_pix_percentile_density_75,0.8510318198649611,0.0014896868717228066,False
img_pix_percentile_count_80,0.6899767560999511,3.877784248801777e-06,False
img_pix_percentile_density_80,0.6899767560999507,3.877784248801749e-06,False
img_pix_percentile_count_85,0.7895686115438667,0.00011765350246076559,False
img_pix_percentile_density_85,0.7895686115438667,0.00011765350246076559,False
img_pix_percentile_count_90,0.8044370410531384,0.0002096921377121133,False
img_pix_percentile_density_90,0.8044370410531383,0.00020969213771211188,False
img_pix_percentile_count_95,0.888600692515159,0.008790974267876516,False
