feature,mutual_information
peso_cama_5cm_g,1.7193311936265228
peso_cama_10cm_g,1.4684307052260346
acel_y_g,1.1618678236631526
acel_z_g,0.9343223990023428
temperatura_c,0.7382877712369464
salud,0.5790107274635943
img_lbp_4,0.5735280651310863
cold_lbp_40_6,0.5642927491650012
humedad_pct,0.5343468977036105
cold_lbp_40_5,0.510737223494091
nitrogeno_mg_kg,0.48919034088951663
conductividad_us_cm,0.48919034088951663
cold_lbp_40_4,0.47006304724299164
cold_lbp_25_4,0.4674201772924298
fosforo_mg_kg,0.43077032985014485
cold_lbp_30_6,0.42799752729285623
cold_lbp_25_6,0.4137012466504224
cold_lbp_25_5,0.3991023839746357
cold_lbp_40_7,0.38718887013804526
cold_lbp_40_8,0.3718935884966097
img_lbp_3,0.34918499763786426
potasio_mg_kg,0.3404058332356479
cold_lbp_35_6,0.33940193485111014
cold_lbp_25_3,0.3378978833470583
cold_lbp_30_4,0.31000451603061463
cold_lbp_30_5,0.3074663490693703
cold_lbp_30_0,0.2956546070882431
cold_lbp_35_5,0.29544236877615937
cold_lbp_35_4,0.2850351477920152
ph,0.28327875365887767
img_lbp_6,0.2825666760927743
img_lbp_5,0.2606046637461461
cold_lbp_40_22,0.25618544098864193
cold_lbp_40_9,0.2526808567838783
cold_lbp_35_13,0.24578153933474023
cold_lbp_30_13,0.22059545405250125
cold_lbp_40_21,0.21595302383314774
cold_lbp_30_3,0.21298262766257237
cold_lbp_25_7,0.21167282635277052
cold_lbp_30_7,0.2006786922817132
cold_lbp_35_3,0.1803766001529965
cold_lbp_25_0,0.17820155129272486
cold_lbp_35_7,0.17688528483445998
cold_lbp_40_3,0.1612162889960791
img_gray_p10,0.14867391287308784
cold_median_25,0.14549930969848535
cold_mean_25,0.14502617172534715
img_lbp_23,0.1431461607107205
cold_lbp_30_15,0.14117559251307488
cold_lbp_25_2,0.1406666463310513
cold_lbp_35_12,0.13900248462611908
cold_lbp_35_15,0.1371745256318706
cold_lbp_25_13,0.13616889833069634
img_lbp_17,0.13604332764634952
img_lbp_14,0.1304333433092868
cold_median_30,0.1277961794953546
cold_lbp_25_8,0.12736203596166318
cold_lbp_40_13,0.12453898412725306
img_lbp_15,0.1239859405889625
cold_lbp_40_11,0.12363600324689661
img_gray_median,0.11218348706021786
cold_lbp_35_8,0.10955635308245126
img_lbp_13,0.10764998350669597
cold_lbp_25_1,0.10708699669788979
img_gray_iqr,0.1069429942190927
cold_lbp_35_14,0.10617932307110345
cold_lbp_40_12,0.10604227615686068
img_glcm_homogeneity_std,0.10543862880069987
cold_lbp_25_15,0.1052785301737047
cold_lbp_25_19,0.10496245064977794
cold_mean_40,0.10387939115548983
cold_lbp_25_25,0.09638069723740972
cold_lbp_25_12,0.0961929021047001
cold_mean_35,0.09612603340213166
cold_lbp_40_0,0.0960732549839689
cold_lbp_25_14,0.09556345495493734
img_lbp_21,0.09310293470595576
cold_lbp_25_11,0.08949418352815397
img_gray_mean,0.08940650858305954
cold_mean_30,0.08925790153399982
cold_lbp_35_11,0.08721270828883121
img_glcm_correlation_mean,0.08685313643722448
cold_lbp_40_17,0.08489512481322103
img_lbp_7,0.08462103199328408
cold_median_35,0.08283280953198457
