variable_1,variable_2,spearman
img_pix_count_130,img_pix_density_130,1.0
img_pix_count_180,img_pix_density_180,1.0
img_pix_count_150,img_pix_density_150,1.0
img_glcm_energy_mean,img_glcm_ASM_mean,1.0
conductividad_us_cm,nitrogeno_mg_kg,1.0
img_pix_count_100,img_pix_density_100,1.0
img_pix_count_80,img_pix_density_80,1.0
img_pix_percentile_count_95,img_pix_percentile_density_95,1.0
img_pix_percentile_count_90,img_pix_percentile_density_90,1.0
img_pix_percentile_count_85,img_pix_percentile_density_85,1.0
img_pix_percentile_count_80,img_pix_percentile_density_80,1.0
img_pix_percentile_count_75,img_pix_percentile_density_75,1.0
img_pix_percentile_count_70,img_pix_percentile_density_70,1.0
img_pix_percentile_count_60,img_pix_percentile_density_60,1.0
img_pix_percentile_count_50,img_pix_percentile_density_50,1.0
img_pix_count_50,img_pix_density_50,1.0
img_glcm_contrast_mean,img_glcm_contrast_std,0.997948717948718
img_gray_p10,cold_mean_30,0.9960635005056738
cold_mean_35,cold_mean_40,0.9945299145299146
cold_median_35,cold_median_40,0.994351307842297
cold_median_30,cold_median_35,0.9941770996972907
img_gray_p10,cold_mean_25,0.9926394252203329
img_glcm_ASM_mean,img_glcm_ASM_std,0.9924786324786324
img_glcm_energy_mean,img_glcm_ASM_std,0.9924786324786324
cold_mean_25,cold_mean_30,0.9917948717948718
img_gray_p25,cold_median_40,0.9916047699070323
cold_mean_30,cold_mean_35,0.9911111111111112
cold_lbp_40_21,cold_lbp_40_22,0.9911111111111112
cold_median_30,cold_median_40,0.9907551383827573
img_glcm_dissimilarity_mean,img_glcm_dissimilarity_std,0.9904273504273504
cold_median_25,cold_median_30,0.9904076738609112
img_gray_p25,cold_median_35,0.9902302117276569
cold_mean_30,cold_mean_40,0.9897435897435898
cold_std_30,cold_std_35,0.9897435897435898
img_lbp_11,img_lbp_12,0.989059829059829
cold_mean_25,cold_mean_35,0.9876923076923076
img_gray_min,img_gray_range,-0.9875187054137935
cold_lbp_30_11,cold_lbp_30_12,0.987008547008547
img_glcm_energy_std,img_glcm_ASM_std,0.9863247863247864
img_gray_p10,cold_mean_35,0.985791274649651
fosforo_mg_kg,potasio_mg_kg,0.9851108312031162
