feature,VIF
peso_cama_5cm_g,inf
peso_cama_10cm_g,inf
acel_y_g,inf
acel_z_g,inf
temperatura_c,inf
salud,inf
img_lbp_4,inf
cold_lbp_40_6,inf
humedad_pct,inf
cold_lbp_40_5,inf
nitrogeno_mg_kg,inf
conductividad_us_cm,inf
cold_lbp_40_4,inf
cold_lbp_25_4,inf
fosforo_mg_kg,inf
cold_lbp_30_6,inf
cold_lbp_25_6,inf
cold_lbp_25_5,inf
cold_lbp_40_7,inf
cold_lbp_40_8,inf
img_lbp_3,inf
potasio_mg_kg,inf
cold_lbp_35_6,inf
cold_lbp_25_3,inf
cold_lbp_30_4,inf
cold_lbp_30_5,inf
cold_lbp_30_0,inf
cold_lbp_35_5,inf
cold_lbp_35_4,inf
ph,inf
