lombrices_agregadas_g,replica,peso_cama_5cm_g,peso_cama_10cm_g,peso_lombrices_inyectadas_g,humedad_pct,temperatura_c,uv_intensity,conductividad_us_cm,ph,nitrogeno_mg_kg,fosforo_mg_kg,potasio_mg_kg,acel_x_g,acel_y_g,acel_z_g,lluvia_binario,salud,humedad_trama_pct,temperatura_trama_c,conductividad_trama_us_cm,ph_trama,nitrogeno_trama_mg_kg,fosforo_trama_mg_kg,potasio_trama_mg_kg,ID
0,1,920.0,1411.7,0,44.4,26.2,210,1489,5.7,272,675,672,0.0,4.0,33.81,1,0.61,44.4,26.2,1489,5.7,272,675,672,1
10,1,935.0,1462.0,10,58.8,25.6,209,2046,6.1,388,944,943,0.06,4.0,33.88,1,0.63,58.8,25.6,2040,6.1,387,941,940,2
10,2,935.0,1462.0,10,9.2,24.1,208,0,7.4,0,0,0,359.88,4.0,33.94,1,0.68,9.2,24.1,0,7.4,0,0,0,3
10,3,935.0,1462.0,10,67.6,25.8,208,3002,7.0,588,1405,1408,0.06,4.06,33.88,1,0.63,67.6,25.8,3002,7.0,588,1405,1408,4
10,4,935.0,1462.0,10,60.1,26.1,209,3217,7.9,632,1508,1512,359.94,4.0,33.88,1,0.62,60.4,26.2,3217,7.9,632,1508,1512,5
10,5,935.0,1462.0,10,79.1,25.2,210,3647,8.0,722,1716,1721,359.94,4.06,34.0,1,0.64,80.2,24.8,3647,7.8,722,1716,1721,6
20,1,985.0,1462.0,20,84.2,26.2,210,3629,8.4,718,1707,1713,0.0,4.06,33.88,1,0.61,84.2,26.2,3629,8.4,718,1707,1713,7
20,2,985.0,1462.0,20,64.6,26.0,208,2825,8.0,551,1319,1322,0.0,4.13,33.88,1,0.62,64.6,25.9,2825,7.9,551,1319,1322,8
20,3,985.0,1462.0,20,69.8,26.1,209,3143,7.9,617,1473,1476,0.0,4.06,33.81,1,0.62,69.4,26.0,3143,7.7,617,1473,1476,9
20,4,985.0,1462.0,20,68.1,25.7,208,2931,7.8,573,1370,1373,359.88,3.75,33.75,1,0.63,68.1,25.7,2931,7.8,573,1370,1373,10
20,5,985.0,1462.0,20,94.0,27.6,209,4257,8.4,850,1999,1999,359.81,3.88,33.69,1,0.57,93.7,27.6,4334,8.4,866,1999,1999,11
30,1,1037.0,1547.0,30,65.2,27.0,209,3475,7.9,686,1633,1638,0.0,2.81,34.5,1,0.59,65.2,26.9,3475,7.6,686,1633,1638,12
30,2,1037.0,1547.0,30,88.8,26.8,209,3659,8.5,725,1721,1727,359.94,2.75,34.44,1,0.6,88.5,26.6,3659,8.5,725,1721,1727,13
30,3,1037.0,1547.0,30,94.5,27.1,208,5070,7.7,1019,1999,1999,0.0,2.75,34.5,1,0.59,95.0,26.9,5070,7.6,1019,1999,1999,14
30,4,1037.0,1547.0,30,95.1,27.0,210,5380,7.0,1084,1999,1999,359.88,2.75,34.69,1,0.59,94.0,27.0,5419,7.0,1092,1999,1999,15
30,5,1037.0,1547.0,30,95.1,27.1,208,5341,5.1,1076,1999,1999,0.0,2.69,34.75,1,0.59,95.1,26.8,5341,5.1,1076,1999,1999,16
40,1,1119.1,1580.0,40,100.0,27.4,211,6592,9.0,1337,1999,1999,359.94,1.0,34.25,1,0.58,100.0,27.4,6592,9.0,1337,1999,1999,17
40,2,1119.1,1580.0,40,94.5,27.2,209,4218,7.6,841,1991,1999,359.88,1.0,34.19,1,0.58,95.1,27.0,4218,7.6,841,1991,1999,18
40,3,1119.1,1580.0,40,100.0,27.1,208,6592,8.8,1337,1999,1999,0.06,0.88,34.19,1,0.59,100.0,26.8,6592,8.8,1337,1999,1999,19
40,4,1119.1,1580.0,40,100.0,26.5,210,6039,8.3,1221,1999,1999,359.94,0.88,34.25,1,0.61,100.0,26.5,6039,8.3,1221,1999,1999,20
40,5,1119.1,1580.0,40,100.0,27.4,207,6118,7.2,1238,1999,1999,0.06,0.88,34.31,1,0.58,100.0,27.4,6118,7.2,1238,1999,1999,21
50,1,1222.0,1610.0,50,91.6,26.9,209,3874,8.3,770,1825,1832,0.0,0.94,33.94,1,0.59,91.6,26.9,3874,8.3,770,1825,1832,22
50,2,1222.0,1610.0,50,100.0,27.7,210,7026,9.0,1427,1999,1999,359.94,0.88,34.13,1,0.57,100.0,27.7,7026,9.0,1427,1999,1999,23
50,3,1222.0,1610.0,50,100.0,26.7,211,5961,8.8,1205,1999,1999,359.94,0.88,34.13,1,0.6,100.0,26.2,5961,8.5,1205,1999,1999,24
50,4,1222.0,1610.0,50,100.0,26.9,210,5767,8.8,1165,1999,1999,359.88,0.88,34.13,1,0.59,100.0,26.5,5767,8.7,1165,1999,1999,25
50,5,1222.0,1610.0,50,100.0,26.9,210,5864,8.8,1185,1999,1999,0.0,0.88,34.13,1,0.59,100.0,26.9,5864,8.8,1185,1999,1999,26
