peso_cama_5cm_g,peso_cama_10cm_g,humedad_pct,temperatura_c,uv_intensity,conductividad_us_cm,ph,nitrogeno_mg_kg,fosforo_mg_kg,potasio_mg_kg,acel_x_g,acel_y_g,acel_z_g,salud,lombrices_agregadas_g
920.0,1411.7,44.4,26.2,210,1489,5.7,272,675,672,0.0,4.0,33.81,0.61,0
935.0,1462.0,58.8,25.6,209,2046,6.1,388,944,943,0.06,4.0,33.88,0.63,10
935.0,1462.0,9.2,24.1,208,0,7.4,0,0,0,359.88,4.0,33.94,0.68,10
935.0,1462.0,67.6,25.8,208,3002,7.0,588,1405,1408,0.06,4.06,33.88,0.63,10
935.0,1462.0,60.1,26.1,209,3217,7.9,632,1508,1512,359.94,4.0,33.88,0.62,10
935.0,1462.0,79.1,25.2,210,3647,8.0,722,1716,1721,359.94,4.06,34.0,0.64,10
985.0,1462.0,84.2,26.2,210,3629,8.4,718,1707,1713,0.0,4.06,33.88,0.61,20
985.0,1462.0,64.6,26.0,208,2825,8.0,551,1319,1322,0.0,4.13,33.88,0.62,20
985.0,1462.0,69.8,26.1,209,3143,7.9,617,1473,1476,0.0,4.06,33.81,0.62,20
985.0,1462.0,68.1,25.7,208,2931,7.8,573,1370,1373,359.88,3.75,33.75,0.63,20
985.0,1462.0,94.0,27.6,209,4257,8.4,850,1999,1999,359.81,3.88,33.69,0.57,20
1037.0,1547.0,65.2,27.0,209,3475,7.9,686,1633,1638,0.0,2.81,34.5,0.59,30
1037.0,1547.0,88.8,26.8,209,3659,8.5,725,1721,1727,359.94,2.75,34.44,0.6,30
1037.0,1547.0,94.5,27.1,208,5070,7.7,1019,1999,1999,0.0,2.75,34.5,0.59,30
1037.0,1547.0,95.1,27.0,210,5380,7.0,1084,1999,1999,359.88,2.75,34.69,0.59,30
1037.0,1547.0,95.1,27.1,208,5341,5.1,1076,1999,1999,0.0,2.69,34.75,0.59,30
1119.1,1580.0,100.0,27.4,211,6592,9.0,1337,1999,1999,359.94,1.0,34.25,0.58,40
1119.1,1580.0,94.5,27.2,209,4218,7.6,841,1991,1999,359.88,1.0,34.19,0.58,40
1119.1,1580.0,100.0,27.1,208,6592,8.8,1337,1999,1999,0.06,0.88,34.19,0.59,40
1119.1,1580.0,100.0,26.5,210,6039,8.3,1221,1999,1999,359.94,0.88,34.25,0.61,40
1119.1,1580.0,100.0,27.4,207,6118,7.2,1238,1999,1999,0.06,0.88,34.31,0.58,40
1222.0,1610.0,91.6,26.9,209,3874,8.3,770,1825,1832,0.0,0.94,33.94,0.59,50
1222.0,1610.0,100.0,27.7,210,7026,9.0,1427,1999,1999,359.94,0.88,34.13,0.57,50
1222.0,1610.0,100.0,26.7,211,5961,8.8,1205,1999,1999,359.94,0.88,34.13,0.6,50
1222.0,1610.0,100.0,26.9,210,5767,8.8,1165,1999,1999,359.88,0.88,34.13,0.59,50
1222.0,1610.0,100.0,26.9,210,5864,8.8,1185,1999,1999,0.0,0.88,34.13,0.59,50
