imagen,gramos,iteracion,ocupacion_real_pct,ocupacion_predicha_cruda_pct,ocupacion_predicha_pct,gramos_predichos_equiv,error_pct,error_abs_pct,error_g_equiv,error_abs_g_equiv
T0G-1.jpg,0.0,1,0.0,70.48563229847068,80,40.0,-80.0,80.0,-40.0,40.0
T10G-1.jpg,10.0,1,20.0,56.59581954650386,60,30.0,-40.0,40.0,-20.0,20.0
T10G-2.jpg,10.0,2,20.0,61.01044876449677,60,30.0,-40.0,40.0,-20.0,20.0
T10G-3.jpg,10.0,3,20.0,62.51493865782092,60,30.0,-40.0,40.0,-20.0,20.0
T10G-4.jpg,10.0,4,20.0,62.58597758687692,60,30.0,-40.0,40.0,-20.0,20.0
T10G-5.jpg,10.0,5,20.0,69.34598109466575,60,30.0,-40.0,40.0,-20.0,20.0
T20G-1.jpg,20.0,1,40.0,52.81462792561113,60,30.0,-20.0,20.0,-10.0,10.0
T20G-2.jpg,20.0,2,40.0,64.38636472832687,60,30.0,-20.0,20.0,-10.0,10.0
T20G-3.jpg,20.0,3,40.0,67.67451633507469,60,30.0,-20.0,20.0,-10.0,10.0
T20G-4.jpg,20.0,4,40.0,51.33953550287363,60,30.0,-20.0,20.0,-10.0,10.0
T20G-5.jpg,20.0,5,40.0,51.52989169019958,60,30.0,-20.0,20.0,-10.0,10.0
T30G-1.jpg,30.0,1,60.0,53.113525640646166,60,30.0,0.0,0.0,0.0,0.0
T30G-2.jpg,30.0,2,60.0,50.48939280951915,60,30.0,0.0,0.0,0.0,0.0
T30G-3.jpg,30.0,3,60.0,64.66944784896918,60,30.0,0.0,0.0,0.0,0.0
T30G-4.jpg,30.0,4,60.0,67.8046484114596,60,30.0,0.0,0.0,0.0,0.0
T30G-5.jpg,30.0,5,60.0,62.32417482277447,60,30.0,0.0,0.0,0.0,0.0
T40G-1.jpg,40.0,1,80.0,56.041764357835675,60,30.0,20.0,20.0,10.0,10.0
T40G-2.jpg,40.0,2,80.0,61.404250203343,60,30.0,20.0,20.0,10.0,10.0
T40G-3.jpg,40.0,3,80.0,59.086536478469554,60,30.0,20.0,20.0,10.0,10.0
T40G-4.jpg,40.0,4,80.0,61.581993266647295,60,30.0,20.0,20.0,10.0,10.0
T40G-5.jpg,40.0,5,80.0,47.85789470313644,40,20.0,40.0,40.0,20.0,20.0
T50G-1.jpg,50.0,1,100.0,59.59376101163172,60,30.0,40.0,40.0,20.0,20.0
T50G-2.jpg,50.0,2,100.0,51.609175323473664,60,30.0,40.0,40.0,20.0,20.0
T50G-3.jpg,50.0,3,100.0,61.35225821730724,60,30.0,40.0,40.0,20.0,20.0
T50G-4.jpg,50.0,4,100.0,54.61370664689535,60,30.0,40.0,40.0,20.0,20.0
T50G-5.jpg,50.0,5,100.0,54.77037456144222,60,30.0,40.0,40.0,20.0,20.0
